"GENOTYPE","FHB_ME","FDK_ME","DON_ME","HD_ME","PH_ME","FHB_KIN19","FDK_KIN19","DON_KIN19","HD_KIN20","FHB_KIN20","FDK_KIN20","DON_KIN20","PH_KIN20","HD_RAL19","FHB_RAL19","FDK_RAL19","DON_RAL19","HD_RAL20","FHB_RAL20","FDK_RAL20","DON_RAL20","PH_RAL20","FDK_WAR19","DON_WAR19","HD_WAR20","FHB_WAR20","FDK_WAR20","DON_WAR20"
"13955-99",1.3756111333895,3.53358867751448,2.07756839339179,99.1249999811736,85.6250000000318,1.50407739677635,3.86042355361459,2.86566110538515,86,1.87052829655452,3.85980963044595,2.59402248090219,87.5,103.5,1.44691898293633,4.0067548404451,3.37012484239579,86,1.09861228866794,2.30088777606364,0.530085492806157,83.75,35,1.59284811570663,121,2,3.48120219164564,0.722705982801019
"13955-39",1.04160499594193,3.00797583229373,1.60885860844443,100.124999981207,91.8750000000319,1.2527629684953,3.40089122423615,2.51141826641503,88.5,1.38502048077282,3.68795937351929,1.56365929276818,91.2499999999999,104,1.25276296849538,3.48066174454831,2.6888321613704,88,0.916290731873966,2.86050356399906,0.502953787322075,92.5,15,1.61284878241329,120,1,1.60940001474405,0.262364264467065
"13955-189",1.15465237205934,2.85955700433248,1.65502556122494,100.999999981238,95.0000000000318,1.38629436111973,3.55504190406341,2.8280300371675,89,1.5028035164292,3.55442798089477,2.27742576053086,94.9999999999999,106,1.38629426499235,2.86162253614209,1.7435043766417,88,1.09861228866787,2.01320570361186,0.497678092985836,95.0000000000001,15,1.75990220036979,121,1,2.30254719530399,0.246860077931059
"13955-204",1.0416050388318,3.49507273682676,1.99747641432737,99.1249999812271,91.8750000000319,0.693147180559868,3.2185696674422,2.42697994726846,86.5,0.915016851527086,3.68795937351929,1.97144975523192,93.7499999999999,102,1.09861228866812,3.9602348248102,3.01369323706393,87,1.50407739677608,3.55365074455901,1.87349979147383,90.0000000000001,25,1.88807739379379,121,2.5,3.31414810698247,1.07840958135016
"13955-46",0.382359380464569,3.07425989616179,2.30441139729208,102.874999981212,102.500000000032,0.405465108108092,4.00702702780646,3.90376713644363,92,0.404191227761094,2.3016650123994,1.8745084245015,101.25,105.5,0.916290731874166,3.40061903687478,2.64054692021094,91,0.405465108107976,2.01320570361186,0.126089892677353,103.75,65,3.19620698206434,123,0.500000000000002,2.01486512285221,-0.0833816089394792
"13955-119",1.36318865891273,3.38169138307768,1.99349054927039,100.249999981445,95.0000000000311,1.60943791243401,3.40089122423615,2.664990409923,89.5,1.2514890881483,3.31326592407788,1.9119659870364,93.75,102.5,1.50407739677627,3.80608414498294,3.16888612646963,89,1.38629436111968,2.7063528841718,1.20841758758096,96.25,45,2.16251423949555,120,3,3.21883792717815,0.631271776841368
"13955-147",1.25782812222583,2.83416948591295,1.52483349784359,97.9999999813096,87.5000000000318,1.50407739677613,2.99542611612799,2.47009007092219,87,1.38502048077282,3.21795574427355,2.15260269579813,88.75,100.5,1.3862943611199,3.21829748008082,1.90775490830375,84,1.25276296849516,2.52403132737785,0.614642880834222,86.2500000000001,10,1.63245725380167,120.5,2,2.70801230341216,0.165514438477084
"13955-57",1.12483769970387,2.93577585744013,1.51949830078284,102.057610799732,93.9224508227897,1.3862949545971,2.73279646026907,1.98384744167787,90.9999987238696,0.642661115896321,2.25968141455497,0.888104938694597,92.6722755458445,106,1.17865499634166,3.48066174454831,2.54417610746292,89.5,0.916290731873966,2.30088777606364,0.641311127916383,95,20.9436159723452,1.57243924407542,122,3.5,3.4011594839721,1.08518926833554
"13955-47",1.36318862900389,3.41719946197637,2.26349794472358,96.4999999812045,87.5000000000319,1.70474809223834,3.62403477555036,2.82507582527007,84,1.5028035164292,3.80574240917567,2.58280741008205,87.5,99,1.70474809223844,3.68830110932656,3.3769160399738,85,0.916290731873966,2.52403132737785,0.810387457960317,87.5,40,2.45731377971619,118,2,3.11347741152032,1.22964055107408
"13955-132",1.64460111457306,3.84740416038277,2.35657883613292,98.2499999813359,90.0000000000317,1.70474809223831,3.86042355361459,3.29359906934537,84,1.87052829655452,4.00641310463782,2.4975428511287,84.9999999999999,102.5,1.70474809223843,3.62376258818899,3.17511667622027,85.5,1.50407739677606,4.15262453206998,1.90475233497793,95,50,2.25000169361866,121,4.5,3.55531016379936,0.955511445026946
"13955-12",1.06062546088957,3.26271493896409,2.03458474927876,99.7499999814146,105.000000000031,1.09861288214532,3.24362208403506,2.92912571042528,87,1.38502048077282,3.55442798089477,1.84349818775894,100,104.5,1.17865499634164,3.86015136625322,3.07044605365638,87,0.916290731873945,1.60774059550369,1.08126241209572,110,45,2.25000169361866,120.5,2,3.11347741152032,0.900161349943781
"13955-81",1.52445676996559,3.39072390345641,2.08263871055841,99.3749999811834,81.875000000032,1.70474809223846,3.74919791850437,3.37534971936407,88,1.79048558888098,3.80574240917567,2.55227068622197,81.25,103.5,1.60943791243411,3.80608414498294,2.58234868096795,87,1.60943791243391,2.99403495662359,0.674804044248734,82.5,30,1.97446200799261,119,2,2.5256907466182,0.494696241835691
"13955-35",1.29865013330654,3.00503177498615,1.70854965367641,100.624999981211,86.250000000032,1.25276296849527,3.55504190406341,2.74823312032721,90,1.38502048077282,3.62342085238172,1.45365839755386,83.7499999999999,103.5,1.44691898293634,3.74892573114299,2.84730250234217,87,1.3862943611197,2.01320570361186,0.37102079817647,88.7500000000001,10,1.68907614780118,122,3,2.5256907466182,0.553885113226007
"13955-121",0.644723614564661,2.60546006406946,1.32153702739782,99.4999999813554,93.1250000000317,0.693147180559823,2.99542611612799,2.54329347494548,87,1.38502048077282,3.31326592407788,1.61443161814161,97.5,103.5,0.810930216216324,3.112936964423,2.18805687345791,88,0.405465108107954,2.30088777606364,-0.397832758016114,88.75,5,0.804390755342351,119.5,0,2.01486512285221,-0.301105092784412
